zip_code,case_count,report_date
60154,222,2020-07-06
60155,182,2020-07-06
60156,170,2020-07-06
60157,12,2020-07-06
60160,786,2020-07-06
60162,178,2020-07-06
60163,101,2020-07-06
60164,549,2020-07-06
60165,187,2020-07-06
60169,423,2020-07-06
60171,137,2020-07-06
60172,249,2020-07-06
60173,112,2020-07-06
60174,207,2020-07-06
60175,117,2020-07-06
60176,180,2020-07-06
60177,306,2020-07-06
60178,74,2020-07-06
60181,301,2020-07-06
60184,8,2020-07-06
60185,790,2020-07-06
60187,164,2020-07-06
60188,524,2020-07-06
60189,125,2020-07-06
60190,68,2020-07-06
60191,235,2020-07-06
60192,69,2020-07-06
60193,293,2020-07-06
60194,190,2020-07-06
60195,21,2020-07-06
60201,351,2020-07-06
60202,458,2020-07-06
60203,36,2020-07-06
60301,30,2020-07-06
60302,241,2020-07-06
60304,87,2020-07-06
60305,59,2020-07-06
60401,49,2020-07-06
60402,1489,2020-07-06
60403,241,2020-07-06
60404,129,2020-07-06
60406,552,2020-07-06
60408,26,2020-07-06
60409,660,2020-07-06
60410,56,2020-07-06
60411,1012,2020-07-06
60415,224,2020-07-06
60416,21,2020-07-06
60417,188,2020-07-06
60418,122,2020-07-06
60419,434,2020-07-06
60420,13,2020-07-06
60421,15,2020-07-06
60422,95,2020-07-06
60423,182,2020-07-06
60424,6,2020-07-06
60425,184,2020-07-06
60426,522,2020-07-06
60428,234,2020-07-06
60429,247,2020-07-06
60430,297,2020-07-06
60431,247,2020-07-06
60432,489,2020-07-06
60433,335,2020-07-06
60434,171,2020-07-06
60435,743,2020-07-06
60436,272,2020-07-06
60438,434,2020-07-06
60439,123,2020-07-06
60440,937,2020-07-06
60441,235,2020-07-06
60442,49,2020-07-06
60443,394,2020-07-06
60445,182,2020-07-06
60446,575,2020-07-06
60447,63,2020-07-06
60448,179,2020-07-06
60449,85,2020-07-06
60450,74,2020-07-06
60451,150,2020-07-06
60452,259,2020-07-06
60453,862,2020-07-06
60455,362,2020-07-06
60456,56,2020-07-06
60457,148,2020-07-06
60458,161,2020-07-06
60459,462,2020-07-06
60461,66,2020-07-06
60462,392,2020-07-06
60463,257,2020-07-06
60464,63,2020-07-06
60465,283,2020-07-06
60466,507,2020-07-06
60467,200,2020-07-06
60468,40,2020-07-06
60469,98,2020-07-06
60471,228,2020-07-06
60472,73,2020-07-06
60473,458,2020-07-06
60475,97,2020-07-06
60476,27,2020-07-06
60477,278,2020-07-06
60478,356,2020-07-06
60480,42,2020-07-06
60481,33,2020-07-06
60482,113,2020-07-06
60484,129,2020-07-06
60487,174,2020-07-06
60490,164,2020-07-06
60491,165,2020-07-06
60501,312,2020-07-06
60502,111,2020-07-06
60503,72,2020-07-06
60504,381,2020-07-06
60505,2065,2020-07-06
60506,1184,2020-07-06
60510,136,2020-07-06
60513,183,2020-07-06
60514,57,2020-07-06
60515,121,2020-07-06
60516,152,2020-07-06
60517,255,2020-07-06
60518,6,2020-07-06
60520,10,2020-07-06
60521,203,2020-07-06
60523,115,2020-07-06
60525,327,2020-07-06
60526,93,2020-07-06
60527,276,2020-07-06
60532,149,2020-07-06
60534,194,2020-07-06
60538,341,2020-07-06
60540,161,2020-07-06
60541,12,2020-07-06
60542,212,2020-07-06
60543,315,2020-07-06
60544,199,2020-07-06
60545,159,2020-07-06
60546,175,2020-07-06
60548,104,2020-07-06
60551,29,2020-07-06
60552,12,2020-07-06
60554,55,2020-07-06
60555,143,2020-07-06
60558,68,2020-07-06
60559,354,2020-07-06
60560,136,2020-07-06
60561,140,2020-07-06
60563,202,2020-07-06
60564,209,2020-07-06
60565,212,2020-07-06
60585,126,2020-07-06
60586,435,2020-07-06
60601,87,2020-07-06
60602,17,2020-07-06
60603,8,2020-07-06
60604,24,2020-07-06
60605,230,2020-07-06
60606,39,2020-07-06
60607,491,2020-07-06
60608,1877,2020-07-06
60609,1902,2020-07-06
60610,314,2020-07-06
60611,195,2020-07-06
60612,742,2020-07-06
60613,438,2020-07-06
60614,583,2020-07-06
60615,428,2020-07-06
60616,504,2020-07-06
60617,1266,2020-07-06
60618,1461,2020-07-06
60619,1004,2020-07-06
60620,1201,2020-07-06
60621,584,2020-07-06
60622,713,2020-07-06
60623,3575,2020-07-06
60624,941,2020-07-06
60625,1544,2020-07-06
60626,1143,2020-07-06
60628,1200,2020-07-06
60629,3551,2020-07-06
60630,878,2020-07-06
60631,363,2020-07-06
60632,3350,2020-07-06
60633,302,2020-07-06
60634,1590,2020-07-06
60636,813,2020-07-06
60637,672,2020-07-06
60638,1195,2020-07-06
60639,3582,2020-07-06
60640,884,2020-07-06
60641,1639,2020-07-06
60642,216,2020-07-06
60643,779,2020-07-06
60644,1330,2020-07-06
60645,1138,2020-07-06
60646,406,2020-07-06
60647,1510,2020-07-06
60649,871,2020-07-06
60651,1867,2020-07-06
60652,1025,2020-07-06
60653,583,2020-07-06
60654,173,2020-07-06
60655,288,2020-07-06
60656,316,2020-07-06
60657,397,2020-07-06
60659,822,2020-07-06
60660,495,2020-07-06
60661,53,2020-07-06
60680,6,2020-07-06
60706,464,2020-07-06
60707,841,2020-07-06
60712,190,2020-07-06
60714,932,2020-07-06
60803,284,2020-07-06
60804,3052,2020-07-06
60805,243,2020-07-06
60827,396,2020-07-06
60901,715,2020-07-06
60911,11,2020-07-06
60912,6,2020-07-06
60913,7,2020-07-06
60914,229,2020-07-06
60915,88,2020-07-06
60919,6,2020-07-06
60922,16,2020-07-06
60927,53,2020-07-06
60928,7,2020-07-06
60930,7,2020-07-06
60936,11,2020-07-06
60938,8,2020-07-06
60940,18,2020-07-06
60941,7,2020-07-06
60942,9,2020-07-06
60950,111,2020-07-06
60953,6,2020-07-06
60954,47,2020-07-06
60955,16,2020-07-06
60957,13,2020-07-06
60958,25,2020-07-06
60964,40,2020-07-06
60970,20,2020-07-06
61008,487,2020-07-06
61010,30,2020-07-06
61011,11,2020-07-06
61012,24,2020-07-06
61016,48,2020-07-06
61019,12,2020-07-06
61020,18,2020-07-06
61021,97,2020-07-06
61024,8,2020-07-06
61025,6,2020-07-06
61032,239,2020-07-06
61036,18,2020-07-06
61041,6,2020-07-06
61048,6,2020-07-06
61054,13,2020-07-06
61061,13,2020-07-06
61063,11,2020-07-06
61064,10,2020-07-06
61065,76,2020-07-06
61068,158,2020-07-06
61071,44,2020-07-06
61072,42,2020-07-06
61073,84,2020-07-06
61080,60,2020-07-06
61081,94,2020-07-06
61084,12,2020-07-06
61085,8,2020-07-06
61088,13,2020-07-06
61101,351,2020-07-06
61102,302,2020-07-06
61103,337,2020-07-06
61104,348,2020-07-06
61107,298,2020-07-06
61108,462,2020-07-06
61109,315,2020-07-06
61111,125,2020-07-06
61114,122,2020-07-06
61115,149,2020-07-06
61201,291,2020-07-06
61231,6,2020-07-06
61235,8,2020-07-06
61238,8,2020-07-06
61239,8,2020-07-06
61240,17,2020-07-06
61241,19,2020-07-06
61244,284,2020-07-06
61252,27,2020-07-06
61254,24,2020-07-06
61256,7,2020-07-06
61264,37,2020-07-06
61265,323,2020-07-06
61270,12,2020-07-06
61273,7,2020-07-06
61275,16,2020-07-06
61282,62,2020-07-06
61284,7,2020-07-06
61301,6,2020-07-06
61314,6,2020-07-06
61341,47,2020-07-06
61342,21,2020-07-06
61350,39,2020-07-06
61354,6,2020-07-06
61356,10,2020-07-06
61360,8,2020-07-06
61364,8,2020-07-06
61401,128,2020-07-06
61410,8,2020-07-06
61443,19,2020-07-06
61455,87,2020-07-06
61462,119,2020-07-06
61469,7,2020-07-06
61523,6,2020-07-06
61525,25,2020-07-06
61547,8,2020-07-06
61548,13,2020-07-06
61550,23,2020-07-06
61554,44,2020-07-06
61568,6,2020-07-06
61571,33,2020-07-06
61602,7,2020-07-06
61603,111,2020-07-06
61604,91,2020-07-06
61605,78,2020-07-06
61606,15,2020-07-06
61607,10,2020-07-06
61610,8,2020-07-06
61611,31,2020-07-06
61614,140,2020-07-06
61615,48,2020-07-06
61616,11,2020-07-06
61701,70,2020-07-06
61704,88,2020-07-06
61705,18,2020-07-06
61726,6,2020-07-06
61727,9,2020-07-06
61729,6,2020-07-06
61739,6,2020-07-06
61745,7,2020-07-06
61761,77,2020-07-06
61764,22,2020-07-06
61801,56,2020-07-06
61802,133,2020-07-06
61820,145,2020-07-06
61821,171,2020-07-06
61822,77,2020-07-06
61832,42,2020-07-06
61843,16,2020-07-06
61853,62,2020-07-06
61856,10,2020-07-06
61866,198,2020-07-06
61873,14,2020-07-06
61874,39,2020-07-06
61880,10,2020-07-06
61884,6,2020-07-06
61910,19,2020-07-06
61911,10,2020-07-06
61920,108,2020-07-06
61938,55,2020-07-06
61944,7,2020-07-06
61951,9,2020-07-06
61953,18,2020-07-06
61956,6,2020-07-06
62002,166,2020-07-06
62010,44,2020-07-06
62012,14,2020-07-06
62018,12,2020-07-06
62024,15,2020-07-06
62025,146,2020-07-06
62033,6,2020-07-06
62034,85,2020-07-06
62035,52,2020-07-06
62040,177,2020-07-06
62049,7,2020-07-06
62052,20,2020-07-06
62056,20,2020-07-06
62059,7,2020-07-06
62060,48,2020-07-06
62062,17,2020-07-06
62067,8,2020-07-06
62069,11,2020-07-06
62088,8,2020-07-06
62090,14,2020-07-06
62095,28,2020-07-06
62201,130,2020-07-06
62203,75,2020-07-06
62204,72,2020-07-06
62205,87,2020-07-06
62206,202,2020-07-06
62207,118,2020-07-06
62208,113,2020-07-06
62215,6,2020-07-06
62216,7,2020-07-06
62217,7,2020-07-06
62220,194,2020-07-06
62221,189,2020-07-06
62223,79,2020-07-06
62226,232,2020-07-06
62230,28,2020-07-06
62231,88,2020-07-06
62232,46,2020-07-06
62233,102,2020-07-06
62234,196,2020-07-06
62236,56,2020-07-06
62237,6,2020-07-06
62238,8,2020-07-06
62239,22,2020-07-06
62240,6,2020-07-06
62241,7,2020-07-06
62242,6,2020-07-06
62243,11,2020-07-06
62245,7,2020-07-06
62246,10,2020-07-06
62249,22,2020-07-06
62254,101,2020-07-06
62255,7,2020-07-06
62257,13,2020-07-06
62258,24,2020-07-06
62260,14,2020-07-06
62264,57,2020-07-06
62265,45,2020-07-06
62269,116,2020-07-06
62272,50,2020-07-06
62274,11,2020-07-06
62278,16,2020-07-06
62285,21,2020-07-06
62286,51,2020-07-06
62288,33,2020-07-06
62293,11,2020-07-06
62294,37,2020-07-06
62295,13,2020-07-06
62298,69,2020-07-06
62301,55,2020-07-06
62305,53,2020-07-06
62353,7,2020-07-06
62401,8,2020-07-06
62427,6,2020-07-06
62428,9,2020-07-06
62439,6,2020-07-06
62441,10,2020-07-06
62447,8,2020-07-06
62448,37,2020-07-06
62454,10,2020-07-06
62471,17,2020-07-06
62474,6,2020-07-06
62521,117,2020-07-06
62522,42,2020-07-06
62526,61,2020-07-06
62560,7,2020-07-06
62561,8,2020-07-06
62563,7,2020-07-06
62565,14,2020-07-06
62568,36,2020-07-06
62613,6,2020-07-06
62615,8,2020-07-06
62618,78,2020-07-06
62627,6,2020-07-06
62629,20,2020-07-06
62650,110,2020-07-06
62656,15,2020-07-06
62664,11,2020-07-06
62675,12,2020-07-06
62677,6,2020-07-06
62681,12,2020-07-06
62684,71,2020-07-06
62691,47,2020-07-06
62692,9,2020-07-06
62702,89,2020-07-06
62703,82,2020-07-06
62704,68,2020-07-06
62707,20,2020-07-06
62711,40,2020-07-06
62712,9,2020-07-06
62801,70,2020-07-06
62808,7,2020-07-06
62812,16,2020-07-06
62832,24,2020-07-06
62837,8,2020-07-06
62859,6,2020-07-06
62863,22,2020-07-06
62864,86,2020-07-06
62881,8,2020-07-06
62882,15,2020-07-06
62896,8,2020-07-06
62901,178,2020-07-06
62902,22,2020-07-06
62905,6,2020-07-06
62906,91,2020-07-06
62907,20,2020-07-06
62910,6,2020-07-06
62912,9,2020-07-06
62914,10,2020-07-06
62918,18,2020-07-06
62920,72,2020-07-06
62939,10,2020-07-06
62946,7,2020-07-06
62948,29,2020-07-06
62951,11,2020-07-06
62952,14,2020-07-06
62959,58,2020-07-06
62960,8,2020-07-06
62966,104,2020-07-06
62992,59,2020-07-06
85003,209,2020-07-07
85004,155,2020-07-07
85006,626,2020-07-07
